Title,Standfirst
Taylor Swift: extra tickets added with two more shows in Sydney and Melbourne announced,After an estimated 4 million people queued online for tickets on Wednesday the US pop star has announced two more Australian concert datesHow to get Taylor Swift tickets when the Ticketek general sale starts today
"Taylor Swift, Ke Huy Quan, Paul Mescal among those invited to join the Academy",Oscar-winning directors The Daniels are also among the 398 artists and executives invited to join the Academy this year
Taylor Swift becomes first woman to have four albums in US Top 10 at once,"Singer is just third artist in history to have four albums in top 10 concurrently, with Speak Now (Taylor’s Version) becoming her 12th album to reach No. 1"
Taylor Swift’s concert film breaks US presale records,"Two-hour, 45-minute concert film shatters cinema chain AMC record and figure only represents part of presale haul"
Taylor Swift ticket website hit by ‘technical difficulties’ as first Australian presale packages sell out,"American Express said there were issues half an hour before some Sydney packages became available, directing fans to Ticketek sitesHow to get Taylor Swift tickets when the Ticketek general sale starts today"
"‘She is a snake – in the most positive way!’ How Taylor Swift became the world’s biggest pop star, again","In 2015, the singer’s career looked shaky as the media and public turned on her. But after the battle for her masters, her intimate lockdown records and the all-conquering Eras tour, she’s reclaimed her crown – and is now immune to hate"
Taylor Swift: Speak Now (Taylor’s Version) review – re-recording project starting to feel wearying and pointless,(Republic)The latest of Swift’s re-recorded albums suffers from the loss of her youthful voice – as well as her decision to alter lyrics out of step with today’s sensibilities
Taylor Swift tour given ‘major event’ status in Victoria in bid to foil ticket scalpers,"Decision comes as passes for singer’s 2024 Eras tour in Australia are being resold for more than $3,000How to get Taylor Swift tickets when the Ticketek general sale starts today"
"Like Taylor Swift, millions of us dream of packing in the day job. But where do we find our Plan B?",Everyone wants to turn their passion into their profession – or at least a profitable side-hustle. I certainly did. But what if AI can do it better or more cheaply?
Taylor Swift tickets: Ticketek reveals ‘queue’ is a lottery as Australian general sales to open Friday,"Allocations are not on first come, first served basis but at random once users are in waiting ‘lounge’, says company selling Eras tour 2024 ticketsHow to get Taylor Swift tickets when the Ticketek general sale starts todayGet our weekend culture and lifestyle email"
‘People were crying singing along’: readers on Taylor Swift’s Eras concert film,"Guardian readers share their experience of the box-office topping three-hour extravaganza, from screaming along to All Too Well to having a brief nap"
Taylor Swift Sydney and Melbourne presale tickets sold out after record 4m users join Ticketek queue,Australian fans faced hours-long virtual queues and tried a range of strategies as second tranche of Eras tour presale tickets went on saleHow to get Taylor Swift tickets when the Ticketek general sale starts todayExtra tickets added with two more shows announced
Afternoon Update: China downplays Russia turmoil; Taylor Swift presale hiccup; and rain coming to eastern Australia,"Want to get this in your inbox every weekday?Sign up for the Afternoon Update here, and start your day withour Morning Mail newsletter."
‘I love being part of a collective female experience’: inside the all-Taylor Swift club night sweeping the UK,Swiftogeddon began as a novelty one-off but it’s now a weekly sellout event where strangers become best pals and every song is greeted as if it were the greatest ever written
Swifties flock to Leicester Square as Taylor Swift’s box office smash lands in UK,"The Eras Tour, filmed over three nights in California stadium, likely to become biggest grossing concert movie in history"
Taylor Swift v Pixies: what the free tickets claimed by Australian prime ministers reveal about our leaders,A trawl through parliament’s pecuniary interests register reveals how the last three PMs spent their leisure time – and their wildly divergent tastesGet our weekend culture and lifestyle emailHow to get Taylor Swift tickets when the Ticketek general sale starts today
Local Swifties and even the Taylor Swift adjacent are losing their minds trying to get Australian tickets | First Dog on the Moon,The mind-bogglingly huge superstar is coming in February! Omg omg omgSign up here to get an emailwhenever First Dog cartoons are publishedGet all your needs met at the First Dog shopif what you need is First Dog merchandise and prints
Taylor Swift Australia Eras tour: tickets to go on sale for 2024 concerts in Melbourne and Sydney,Pop superstar to perform The Eras Tour with shows at MCG and Accor Stadium in February 2024How to get Taylor Swift tickets when the Ticketek general sale starts today
Travelodge hotels sold out for Taylor Swift’s 2024 UK Eras tour,"Hotel chain says rooms in Edinburgh, Liverpool and Cardiff already fully booked ahead of pop star’s summer performances"
‘Criticism doesn’t keep me up at night’: superproducer Jack Antonoff on his haters – and Taylor Swift’s greatness,"From Lana Del Rey to the 1975, he has defined today’s pop – and some say homogenised it. As his band Bleachers return, he discusses grief, graft and why sincerity matters more than ever"
‘Almost like election night’: behind the scenes of Spotify Wrapped,"The internet is abuzz with the results of this year’s rundown, with Taylor Swift coming out on top as 2023’s most streamed artist"
"Will the Taylor tour spur inflation? No, but a Swift spending spree might just save us from a recession | Greg Jericho","The pop star’s February visit will mean that for the hospitality and travel industries, the summer boom will last a little longerHow to get Taylor Swift tickets when the Ticketek general sale starts today"
‘I can’t lie. I attract people’: Ice Spice on becoming 2023’s biggest pop star – with help from Taylor Swift,"She’s collaborated with the world’s biggest stars, her slang is adored by the internet – and she’s only 23. Ice Spice talks about creating mass hysteria and being mentored by Nicki Minaj"
Jimmy Kimmel on Marjorie Taylor Greene’s new book: ‘First book she’s ever written or read’,"Late-night hosts discuss Greene’s new book, Biden’s mix-up of Taylor Swift and Britney Spears, and more GOP conspiracies about January 6."
Taylor Swift’s Eras tour to reach the UK and Europe in summer 2024,"The pop star will play twenty-six stadium dates, including four nights at Wembley, following huge success in the US leg of the career-spanning tour"
How to get Taylor Swift tickets in Australia: what you need to know about the Eras tour Sydney and Melbourne shows,Here’s everything we know so far about the Eras 2024 showsTicketek reveals ‘queue’ is a lottery as Australian general sales to open FridayExtra tickets added with more shows announcedGet our weekend culture and lifestyle email
"Alice Birch: ‘When I’m writing, the banalities of motherhood such as head lice disappear’","The Normal People screenwriter talks about growing up in a commune, heartbreaking plays, and ​the r​umours that she’s collaborating with Taylor Swift"
D’Andre Swift: the homecoming king behind the Eagles’ undefeated start,"The Eagles are one of two 5-0 teams in the NFL for many different reasons. One of the biggest is D’Andre Swift, a Philly native who has refurbished his reputation as a workhorse"
Afternoon Update: ‘Cause for hope’ in Titanic sub search; KFC hikes prices by up to 25%; and Taylor Swift tour info,"Want to get this in your inbox every weekday?Sign up for the Afternoon Update here, and start your day withour Morning Mail newsletter."
"Wrong names, cancelled Games, and Taylor Swift’s mispressed album – take the Thursday quiz","Fifteen questions on general knowledge and topical trivia, plus a few jokes, every Thursday. How will you fare?"
Swift parrot named 2023 Australian bird of the year winner,"Critically endangered parrot narrowly pips the tawny frogmouth, runner-up for the third time in the biennial Guardian/BirdLife Australia pollFind all ourbird of the year contentDownload your Australian birds poster as a JPEG or PDF file"
Semisonic’s Dan Wilson on Closing Time and a new album: ‘I’m just a really earnest person’,"After writing for the likes of Taylor Swift and Adele, Wilson is back with the US rock band for their first album in 22 years"
Katie Taylor finds redemption against Chantelle Cameron on epic night,Irishwoman becomes undisputed super-lightweight championTaylor was already undisputed world champion at lightweight
‘America First’ Republican Marjorie Taylor Greene prints book in Canada,"Book, MTG, by far-right Georgia congresswoman and leading supporter of Trump policies will be published in US on Tuesday"
"We’re all living longer. Instead of struggling to stay young, why not learn to age well? | Devi Sridhar","While the ultra-wealthy spend millions on bizarre elixirs, the rest of us can follow these simple steps to enjoy a better life"
Poland election: Tusk urges president to allow for swift formation of government,Civic Coalition leader calls for ‘quick decisions’ after coalition of opposition groups win enough votes for parliamentary majorityEurope live – latest updates
Don’t play the hits! Rarities are one of the great joys of live music,"From the National to U2 and Taylor Swift, artists are digging beyond their best-known songs to affirm the connection they share with their loyal fans"
Lords to debate mandating swift bricks in new homes in England,"Hollow bricks are ‘easy win’ to help several endangered species, say experts and Zac Goldsmith who is tabling amendmentUK politics live – latest updates"
Can a swift turn of the head give me the perfect eyeliner flick?,"Don’t move your hand, move your face. That’s the theory anyway"
Katie Taylor faces Cameron rematch knowing defeat could spell the end,"‘I’m like a woman possessed,’ says Ireland’s superstar as she fights against an undefeated opponent and the passage of time"
Elton John’s Taylor-made Watford showed that clubs are about people,A new book on the club’s glory years illustrates how football has become poorer as it has become vastly wealthy
"‘Joni Mitchell watched me sing one of her songs. I was horrified’: Rick Beato, the world’s best-loved music nerd","As energised by Taylor Swift as Schoenberg, Beato has earned millions of fans with his YouTube videos and become the man musicians seek out to discuss their craft"
"Meet drag star Taylor Sheesh, the Philippines’ answer to Swiftie mania","Taylor Swift’s Eras tour will skip the Philippines, but her Filipino fanbase has embraced the call centre worker turned drag act"
Trump arraignment key takeaways: four charges and a swift return date,"The ex-president was hit with four felony counts over efforts to overturn the election, and another hearing is due this month"
Far-right Marjorie Taylor Greene ridiculed for Yom Kippur error,Republican congresswoman tweets image of Hanukah menorah in effort to commemorate unrelated Jewish holiday of Yom Kippur
Grammy nominations 2024: SZA leads a female-dominated year,"Women take control of this year’s nominations with only one man, Jon Batiste, in both the song and record of the year categories"
Calls for national anti-scalping laws after resale ticket prices for Taylor Swift’s Australian tour soar,"Within hours of presales opening for the singer’s Australian tour, tickets were being sold online for more than $3,000How to get Taylor Swift tickets when the Ticketek general sale starts today"
Marjorie Taylor Greene claims Democrats failed to defend House from Capitol rioters,Extremist Republican says in book ‘not one Democrat was willing to stay to defend the chamber’ but claim rejected as ‘patently false’
Nigel Farage praises ‘swift’ intervention by ministers over closed Coutts account,Ex-Ukip leader welcomes prospect of law to stop bank account closures due to customers’ political viewsUK politics live – latest updates
‘Watching extinction in real time’: conservationists losing hope for Australia’s swift parrot if logging continues #birdoftheyear,Experts predict there will be fewer than 100 individuals of the species by 2031 as the rate of decline in population grows fasterFollow our Australia news live blog for latest updatesVote in the2023 Australian bird of the year pollKeep up with all the Guardian/BirdLife Australia bird of the year coverage here
Hannah Diviney: the 10 funniest things I have ever seen (on the internet),"The actor and author has great taste in viral vids, including Taylor Swift high on pain meds, Billy Connolly on maths and Kevin Hart slapping the Rock with a tortillaGet our weekend culture and lifestyle email"
Swiftly resolved? The problems in concert ticketing – and how to fix them,"After an outright debacle in the US, European fans of Taylor Swift have still found getting tickets to be a nightmare. Industry experts explain how to improve the experience"
‘I’m at peace’: England globetrotter Jodie Taylor calls time on career ,"Former Arsenal striker, who scored at two World Cups, played for 17 clubs in six countries and won the Champions League"
Tanya Plibersek announced swift parrot plan without showing recovery team who helped develop it,"Conservation groups say plan contains no meaningful action to address bird’s key threat of native forest loggingGet ourmorning and afternoon news emails,free appordaily news podcast"
"Increased number of swift parrots found near NSW mine reinforces need for habitat protection, say conservationists","Plans for land clearing near a NSW mine where critically endangered swift parrots have been found point to a failure in Australia’s environmental laws, say advocates for the birdFollow our Australia news live blog for latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Liverpool stun Arsenal as Miri Taylor gives visitors opening-day WSL win,
Hull FC resurgence continues as Adam Swift earns revenge against Hull KR,Hull KR 6-16 Hull FCSwift’s two second-half tries help visitors earn fightback win
Alexandria Ocasio-Cortez and Marjorie Taylor Greene unite in push to free Julian Assange,"Maga Republican and leftwing Democrat among 16 US Congress members lobbying Joe Biden to drop extradition attempts against WikiLeaks founderFollow our Australia news live blog for latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
"Morning Mail: new youth detention shock, Victorian earthquake, Lyon injury","Want to get this in your inbox every weekday?Sign up for the Morning Mail here, and finish your day withour Afternoon Update newsletter"
"Taylor Mac: Bark of Millions review – a bombastic queer history, told over 55 songs","Sydney Opera HouseThis four-hour musical-opera-variety show from the celebrated US performer is a moving, witty, extravagant exercise in pure pleasure and spectacle"
White House condemns Marjorie Taylor Greene threat to shut down government,Georgia Republican demands Biden impeachment inquiry as government funding due to run out on 30 September
Robbie Williams fan dies after Sydney concert fall,"Woman in her 70s dies following induced coma after falling down six rows of seating at Allianz Stadium in Moore Park on Thursday eveningFollow our Australia news live blog for latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
The 30 bands and artists to see live before you die … or they split up,"With festival season upon us, from stadium-rousing anthemicists to legacy-honouring techno wizards and bowel-loosening drone-metallers, here are the performers that every music fan will want to tick off their bucket list"
The Stirrings by Catherine Taylor review – coming of age in Sheffield,"A piercing memoir of growing up in 70s and 80s Yorkshire amid male violence, political protest and Pulp gigs"
Rising ticket prices are costing Australians more than just money | Joseph Earp,Cost of living has turned theatre and live music into a sometimes food – which has a profound effect on our future artGet our weekend culture and lifestyle email
"‘100,000 people are about to lose their minds!’ Four Tet on being the world’s unlikeliest superstar DJ","Kieran Hebden is now playing arenas in a bromance with Fred Again and Skrillex. In a rare interview, he talks authenticity, bootlegging Taylor Swift – and his landmark legal battle with his old label"
"Five Great Reads: leave Taylor alone, shaking off the Covid blues, and Roberts-Smith shatters the Anzac myth","Your weekend wrap of essential reads from the past seven days, selected byKris SwalesGet this in your inbox every weekend.Sign up for Five Great Reads here."
"From nightmare ticketing to online abuse, being a pop fan is becoming miserable | Kate Solomon",The stress of trying to get Taylor Swift tickets this week led to feelings of anger and loathing. It’s all part of a music culture that feels increasingly greedy and combative
Wildlife photographer arrested in Tasmanian forest where swift parrot habitat is being logged,"Rob Blakers says he was ‘surprised then furious’ that trees in foraging and feeding habitat for birds, whose numbers are down to just 750, were being destroyedFollow our Australia news live blog for the latest updatesGet ourmorning and afternoon news emails,free appordaily news podcast"
Australian bird of the year 2023 result – follow live updates as the #birdoftheyear winner is announced,The moment has arrived – and the swift parrot has taken the crown for 2023 after the votes for the final 10 candidatesFind all ourbird of the year contentDownload your Australian birds poster as a JPEG or PDF file
Tory MPs back mandatory swift bricks in all new homes to help declining birds,Calls grow for legislation requiring developers to include hollow bricks for endangered nesting species
"Terrible ideas, tedious shows, zero talent: Meghan and Harry’s trainwreck podcast career","From Prince Harry’s deluded plan to interview Putin to a Meghan Markle podcast so insufferable Taylor Swift refused to appear, it’s been one disaster after another. No wonder they’ve been canned"
The Late Americans by Brandon Taylor review – a class act,"A college campus in the midwest provides the setting for this expansive novel of sex, politics and self-discovery"
Orwell by DJ Taylor review – a very English socialist,George Orwell’s voice comes alive again in a biography drawing on newly discovered letters
Liberal MP Taylor Martin apologises for ‘ugly and undignified’ breakup text messages,"NSW upper house member says he was young and inexperienced and pledges to cooperate with investigation into the matterGet ourmorning and afternoon news emails,free appordaily news podcast"
Stephen Colbert on the return to late-night: ‘It feels good to be back’,Late-night hosts return for first time in over five months to discuss a hectic summer of news and Trump’s indictments
Top marks for Sgt Pepper | Letter,ReaderJohn Majorshould have known better when he ripped off the Beatles’ lyrics for a homework assignment
‘It has a mystical power’: moment of serenity in a Paris park wins Taylor Wessing photography prize,Alexandre Silberman’s dreamlike portrait of Diena was praised by judges for its blend of the traditional and contemporary
Marjorie Taylor Greene: ‘My name is on a list’ of Trump vice-president picks,Far-right congresswoman from Georgia tells the Guardian she ‘would be honored’ if chosen for the role
Marjorie Taylor Greene floats Senate run but hopes to be Trump’s vice-president,Republican extremist says ‘I haven’t made up my mind’ on running for Georgia seat because ‘Is it possible that I’ll be VP?’
Blowback review: Miles Taylor on the dangers of a second Trump term,"The aide who was Anonymous writes, under his own name, with an urgency the New York Times and others should note"
Marjorie Taylor Greene’s campaign manager to pay $25k over Ohio train derailment scam,Isaiah Wartman and two others ordered to pay restitution over role in fraudulent fund claiming to help East Palestine victims
Ariana Grande and Demi Lovato latest to split from manager Scooter Braun,"The pop stars follow Colombian reggaeton star J Balvin’s departure in May, while representatives for Justin Bieber have denied rumours that he is also parting ways with SB Projects"
Teófimo López batters Josh Taylor for junior welterweight title in shocker,López win WBO junior welterweight title in upsetTaylor suffers first defeat in 20 professional fightsTeófimo López beats Josh Taylor – as it happened
Erotic Vagrancy: Everything About Richard Burton and Elizabeth Taylor review – an epic hymn to a ‘joyously vulgar’ pair,"Drink-fuelled fights, tantrums, fratricide… Roger Lewis’s exhaustive but exhausting study of the Burton-Taylor partnership is as extravagant and uncompromising as its badly behaved stars"
Brandon Taylor: ‘Writing is the most fun I’m capable of having’,"The American author talks about growing up queer in a family of ‘wolves’, poverty and class in the US, and the 19th-century writers who inspired his latest novel"
Tory party ‘acted swiftly’ to block would-be MPs after MI5 warnings,Party removed two people from candidates list after MI5 warned in 2021 they could be Chinese spies
Can the swift parrot knock the tawny frogmouth off its perch? What the numbers say about Australia’s #birdoftheyear poll,We’re nearing the end of the eliminations and getting to the business end of the voting now. Who will get their beak in front when it counts?Cast your votein the Australian bird of the year poll todayKeep up with all ourbird of the year content
‘Trump can beat Biden’: White House whistleblower Miles Taylor returns with fresh warning,"The former Republican aide has written a sequel, under his own name, to the column and book which blew the whistle from inside the Trump White House. He fears what comes next"
The Late Americans by Brandon Taylor review – a real university challenge,"Inert characters mar the Real Life author’s new novel – a study of education, economics and desire set on a campus in America’s midwest"
"Morning Mail: Australian universities join global top 20, fears for swift parrot, do rent caps work?","Want to get this in your inbox every weekday?Sign up for the Morning Mail here, and finish your day withour Afternoon Update newsletter"
The jet set: 200 celebrities’ aircraft have flown for combined total of 11 years since 2022,"Jets belonging to entertainers, CEOs, oligarchs and billionaires produce equivalent to emissions of almost 40,000 Britons"
One to watch: Baby Queen,"The South African singer-songwriter’s bright, piercing pop – a favourite on TV series Heartstopper – now finds her wrestling with her quarter life crisis"
Hipgnosis needs to hit fast forward towards a sale | Nils Pratley,A second consecutive cancellation of dividends suggests swift and drastic measures are needed at the music rights business
A US governor tried to ban guns amid ‘relentless’ violence. The lawsuits followed swiftly,"A spate of violence spurred the New Mexico leader, Democrat Michelle Lujan Grisham, to take drastic and controversial action"
"‘I’ve become more fearless’: Tuppence Middleton on OCD, motherhood and playing Elizabeth Taylor",The Downton Abbey actor loves to keep a low profile. So how does she feel about portraying one of Hollywood’s most glamorous and headline-grabbing stars – and writing a book about her own mental health?
Marjorie Taylor Greene implies she thinks she’s being spied on via her TV,Far-right US congresswoman tweets TV turned on with an image of a laptop trying to connect and a link to an article on spying
People’s behaviour at music gigs is getting worse. I have three rules to solve that | Simon Price,"Live shows should allow for self-expression, catharsis and abandon. It’s the boorishness and selfishness that need to stop"
The Driver’s Seat (AKA Identikit) review – Elizabeth Taylor captivates in bizarre 70s mystery,Taylor is both hammy and subtle as a woman on the verge of a breakdown in this preposterous but watchable 1974 drama that features an extraordinary cameo from Andy Warhol
Taylor Mac returns with a new extravaganza: ‘We’re trying to hypnotise everybody to be more queer’,"There’s a deficit of songs just for queer people, Taylor Mac says. So the US artist has written 54 new ones, to be performed across four-hour spectacle Bark of MillionsGet our weekend culture and lifestyle email"
Mick Jagger hints at bequeathing back catalogue to charity instead of his children,Singer says his eight offspring ‘don’t need $500m to live well’ in interview that addresses how Rolling Stones brand will continue
" ‘The internet is vicious and toxic, but I’d never go back to the 90s’: Taylor Lorenz talks to Monica Lewinsky","The millennial tech journalist speaks with the activist about surviving merciless harassment, the media’s double standards on gender, and why they still have hope"
Anthony Taylor caught in José Mourinho’s toxic trail but anger problem runs deeper | Barney Ronay,"The manager got lost in the kind of cynical rage that dominates the digital world, but football should not follow his example"
"Country diary: There are swifts aplenty, but where are the swallows? | Derek Niemann","Sandy, Bedfordshire:For the first month, I blamed persistent winds from the north. Now I’m simply baffled"
Teófimo López stuns Josh Taylor for WBO junior welterweight title – as it happened,López dominates Taylor in 12-round unanimous decisionScotland’s Taylor suffers first defeat of professional career
Scrublands review – Chris Hammer adaptation is a rock solid addition to Australian rural noir,"Strong performances from Luke Arnold and Bella Heathcote lead Stan’s gripping new crime drama, about a journalist investigating a small-town murder that isn’t what it seems"
Corrections and clarifications,Margaret Betts photo credit | Michael Randle
"Kosovo’s troubles may not have come to a head, but the crisis still festers",Swift western pressure on Serbia to step back from conflict does not resolve the chronic problems of Kosovo’s nationhood
Josh Taylor and Teófimo López out to jump-start stalled ascents in title fight,A pair of former unified champions who have strayed from once-clear paths to stardom will meet on Saturday at Madison Square Garden with a chance to restore faded luster
One Midsummer’s Day by Mark Cocker review – the extraordinary life of swifts,Wonder and gratitude drive a revelatory account of this vital summer visitor
New fragrances: 10 of the best,"Which scent works for you is highly subjective, but these new products are all worth seeking out"
When Musk met Sunak: the prime minister was more starry-eyed than a SpaceX telescope | Marina Hyde,"As a man soon out of a job, perhaps Rishi Sunak sat dreaming of his own future in Silicon Valley"
"Glastonbury 2024 ticket sale moves back by two weeks, to 16 and 19 November",Issues involving registration of prospective ticketholders mean that festival postpones this year’s sale
Speaking out on stammering and finding confidence | Letters ,"Daniel Hunteroutlines his techniques for easing anxiety and managing conversations. Plus letters fromEleanor Dennison, Dean SwiftandTony Butler"
"Morning Mail: Mundine’s daughter speaks out, Russian oligarch attacks sanctions, Penrith’s magical three-peat","Want to get this in your inbox every weekday?Sign up for the Morning Mail here, and finish your day withour Afternoon Update newsletter"
Olivia Rodrigo: Guts review – pepped-up pop-rock with a dramatic edge,"(Geffen)Pretty tunes are laced with pain as Rodrigo grapples with identity, betrayal and overnight superstardom on her fascinating second album"
José Mourinho swears at referee Taylor and calls him ‘disgrace’ in car park rant,Roma manager escalates criticism after Europa League finalUefa could take action over this and his press conference
Refusing to fly has lost me my job as a climate researcher. It’s a price worth paying | Gianluca Grimalda,My company in Germany has demanded my swift return from climate-change fieldwork near Papua New Guinea. I can’t do it
Marine heatwaves hit Mediterranean as eastern US braces for storms,"Eastern Mediterranean sea surface temperatures up to 4C above normal, while Black Sea up to 6C higher"
What links labradoodles and shopping malls? The Saturday quiz,"From Mark Darcy toMegatherium, test your knowledge with the Saturday quiz"
Pressure to expand the EU has never been greater – and the will to reform it never weaker | Paul Taylor,"Enlargement may offer Europe greater security, but its price is change with daunting financial and political costs"
AI-powered drone beats human champion pilots,Swift AI used technique called deep reinforcement learning to win 15 out of 25 races against world champions
‘What’s your favourite bird?’ is almost impossible to answer. I am always torn | Sean Dooley in #birdoftheyear,"When framing the shortlist for the 2023 bird of the year, we opted for familiar Aussie birds that hold a special place in our heartsTheAustralian bird of the yearpoll launches today, 25 September 2023Get ourmorning and afternoon news emails,free appordaily news podcast"
Ed Sheeran named UK’s most played artist of the year – again,"For the sixth time in eight years, Sheeran has topped the PPL’s list of the UK’s most played artists, encompassing streaming, radio, broadcast and public places"
Wayne Rooney set to take charge at Birmingham after Eustace is sacked,Former England captain available after leaving DC UnitedBirmingham plan on naming new manager in ‘coming days’
"UK response to Chinese assault on state is completely inadequate, report finds","Without swift action Beijing could pose existential threat to liberal democracy, parliamentary committee says"
